transaction_id,customer_id,transaction_date,spending_amount,expense_type,expense_description
1,708134283,1-23-24 8:13,19.94,Transportation,Gas station
2,708134283,1-23-24 17:44,22.77,Health,Dental care
3,708134283,1-23-24 21:16,20.04,Groceries,Grocery store shopping
4,708134283,1-26-24 21:59,234.67,Groceries,Organic food store
5,708134283,1-27-24 22:45,29.24,Transportation,Bus ticket
6,708134283,1-28-24 3:03,23.74,Entertainment,Theater ticket
7,708134283,1-28-24 13:36,20.16,Transportation,Bus ticket
8,708134283,1-29-24 15:31,12.26,Technology,Gadget store
9,708134283,1-31-24 6:47,7.27,Transportation,Bus ticket
10,708134283,02-01-24 9:38,29.77,Entertainment,Amusement park
11,708134283,02-01-24 10:31,7.55,Health,Optometrist visit
12,708134283,02-01-24 22:05,4.99,Transportation,Flight ticket
13,708134283,02-06-24 14:39,25.09,Restaurant,Fast food
14,708134283,02-07-24 1:23,28.46,Miscellaneous,Hobbies
15,708134283,02-10-24 17:11,71.84,Clothing,Retail store shopping
16,708134283,02-11-24 3:47,19.8,Technology,Hardware purchase
17,708134283,02-11-24 3:54,28.31,Restaurant,Fast food
18,708134283,2-13-24 10:27,15.91,Health,Pharmacy
19,708134283,2-16-24 22:44,84.76,Clothing,Footwear store
20,708134283,2-20-24 13:25,16.59,Entertainment,Museum entry
21,708134283,2-26-24 7:33,85.9,Transportation,Taxi
22,708134283,2-27-24 23:14,8.61,Health,Optometrist visit
23,708134283,2-29-24 7:17,4.92,Groceries,Grocery store shopping
24,708134283,03-03-24 23:18,116.69,Restaurant,Lunch
25,708134283,03-05-24 4:37,85.04,Technology,Gadget store
26,708134283,03-05-24 16:57,11.39,Transportation,Bus ticket
27,708134283,03-06-24 0:53,4.96,Miscellaneous,Home supplies
28,708134283,03-07-24 13:25,7.42,Technology,Electronics shopping
29,708134283,03-07-24 16:29,9.13,Entertainment,Theater ticket
30,708134283,03-10-24 8:52,6.35,Technology,Hardware purchase
31,708134283,03-10-24 19:45,4.92,Miscellaneous,Home supplies
32,708134283,03-12-24 11:30,4.92,Transportation,Bus ticket
33,708134283,3-14-24 19:17,6.65,Health,Doctor appointment
34,708134283,3-15-24 3:27,94.51,Technology,Electronics shopping
35,708134283,3-17-24 15:07,4.92,Health,Pharmacy
36,708134283,3-22-24 12:54,5.26,Entertainment,Amusement park
37,708134283,3-24-24 18:03,21.63,Transportation,Train ticket
38,708134283,3-25-24 4:36,113.27,Transportation,Bus ticket
39,708134283,3-26-24 3:05,7.69,Restaurant,Fast food
40,708134283,3-27-24 1:44,17.86,Groceries,Organic food store
41,708134283,04-05-24 7:57,17.76,Groceries,Organic food store
42,708134283,04-06-24 1:10,12.21,Groceries,Farmer's market
43,708134283,04-08-24 14:56,27.35,Technology,Gadget store
44,708134283,04-09-24 4:33,22.43,Entertainment,Sport event ticket
45,708134283,4-14-24 14:01,15.59,Groceries,Organic food store
46,708134283,4-15-24 12:01,197.9,Clothing,Online clothing shopping
47,708134283,4-15-24 14:49,22.22,Clothing,Boutique shopping
48,708134283,4-23-24 20:23,178.78,Entertainment,Amusement park
49,708134283,4-23-24 21:24,15.76,Health,Pharmacy
50,708134283,4-26-24 3:34,11.36,Restaurant,Lunch
51,708134283,4-27-24 10:14,19.07,Miscellaneous,Gifts
52,708134283,4-27-24 10:48,20.07,Miscellaneous,Donations
53,708134283,4-28-24 9:45,16.43,Transportation,Flight ticket
54,708134283,4-29-24 13:13,17.08,Clothing,Retail store shopping
55,708134283,05-03-24 4:02,16.73,Miscellaneous,Gifts
56,708134283,05-05-24 6:04,15.43,Groceries,Organic food store
57,708134283,05-07-24 22:45,189.19,Entertainment,Amusement park
58,708134283,05-08-24 17:41,55.27,Health,Pharmacy
59,708134283,05-09-24 4:38,125.68,Entertainment,Amusement park
60,708134283,05-11-24 4:51,25.43,Transportation,Gas station
61,708134283,05-12-24 19:43,4.99,Clothing,Online clothing shopping
62,708134283,5-21-24 7:59,6.41,Miscellaneous,Gifts
63,708134283,5-21-24 22:49,5.02,Health,Dental care
64,708134283,5-23-24 16:02,4.96,Transportation,Car rental
