CustomerID,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,jobs,Total_Trans_Ct,Total_Trans_Amt,Ocak_Trans_Ct,Subat_Trans_Ct,Mart_Trans_Ct,Nisan_Trans_Ct,Mayis_Trans_Ct,Haziran_Trans_Ct,Temmuz_Trans_Ct,Ocak_Trans_Amt,Subat_Trans_Amt,Mart_Trans_Amt,Nisan_Trans_Amt,Mayis_Trans_Amt,Haziran_Trans_Amt,Temmuz_Trans_Amt,credit_card_tran_ct,credit_card_tran_Amt,credit_card_tran_ct_1,credit_card_tran_ct_2,credit_card_tran_ct_3,credit_card_tran_ct_4,credit_card_tran_ct_5,credit_card_tran_ct_6,credit_card_tran_ct_7,credit_card_tran_Amt_1,credit_card_tran_Amt_2,credit_card_tran_Amt_3,credit_card_tran_Amt_4,credit_card_tran_Amt_5,credit_card_tran_Amt_6,credit_card_tran_Amt_7
708134283,35,M,2,Uneducated,Married,Less than $40K,Blue,36,4,3,3,3131,629,2502,0.749,0.632,0.097096508,blue-collar,49,30241.97,1,7,8,5,10,11,7,27.03,4880.25,5168.03,4264.65,5310.98,5443.77,5147.26,93,3648.11,9,14,17,14,14,18,7,390.09,432.5,522.61,594.01,643.95,457,607.95
708147108,26,M,0,Graduate,Divorced,Unknown,Blue,36,6,1,3,21084,2517,18567,0.763,0.543,0.06199887,engineer,89,99485.86,3,18,16,15,13,14,10,589.61,16554.62,16591.97,16288.27,17680.53,16060.85,15720.01,100,15686.21,7,22,13,7,14,23,14,871.74,3609.15,2388.52,2870.81,1835.72,2648.78,1461.49
708177333,51,F,2,High School,Married,Less than $40K,Silver,36,5,3,0,11261,2485,8776,0.736,0.857,0.099369061,blue-collar,44,44234.54,2,9,9,8,4,7,5,338.32,8121.57,7397.18,6586.12,6598.21,7659.22,7533.92,82,13427.94,6,15,12,13,14,5,17,796.21,1837.11,2909.84,1262.43,2610.36,1170.3,2841.69
708242283,29,M,1,College,Single,$60K - $80K,Blue,36,5,3,2,5346,0,5346,0.928,0.818,0.267723376,self-employed,92,76652.62,5,11,14,15,20,17,10,915.31,12918.72,12644.85,12232.1,15095.63,12711.69,10134.32,67,17174.99,6,6,18,15,18,4,0,2402.03,1425.56,4145.81,3682.82,2950.34,2568.43,0
708249708,48,F,1,Doctorate,Married,Less than $40K,Blue,39,3,3,3,4844,1576,3268,0.809,0.6,0.154556152,engineer,66,41022.49,6,8,8,15,14,6,9,812.19,6453.71,6182.33,6978.24,8184.21,5918.01,6493.8,96,8984.04,6,18,18,20,8,17,9,863.29,1570.92,1380.53,915.37,1379.52,1409.09,1465.32
708303108,50,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,0,1770,1706,64,0.626,0.774,0.497618173,services,112,47297.49,5,19,21,15,17,20,15,729.72,7623.18,8266.57,7106.62,7961.47,7909.35,7700.58,111,10569.41,10,14,27,16,25,13,6,689.88,860.77,2654.18,1046.18,2555.59,1265.45,1497.36
708337683,51,M,2,Uneducated,Single,$60K - $80K,Blue,40,4,2,2,21800,893,20907,0.445,0.676,0.021884595,self-employed,80,78837.78,6,12,17,10,7,19,9,1652.96,11514.67,14458.61,11973.67,12019.95,15723,11494.92,99,5725.01,6,21,14,18,18,18,4,123.94,1587.63,776.04,1053.91,726.79,1247.76,208.94
708373083,40,F,4,Unknown,Married,$40K - $60K,Blue,30,1,3,4,3356,2517,839,0.583,0.147,0.393445074,sales,57,71911.32,1,7,9,10,12,13,5,388.78,11676.36,11897.81,12810.93,12132.51,12376.79,10628.14,101,15844.82,6,25,13,14,25,14,4,719.08,4094.15,2643.16,1854.87,1669.26,4219.78,644.52
708384033,45,F,3,Uneducated,Married,Less than $40K,Blue,35,3,3,3,2745,2463,282,0.643,0.345,0.464232848,blue-collar,57,43719.47,3,6,11,12,8,10,7,542.81,7062.44,8030.97,7383.98,7263.23,6366.19,7069.85,89,15291.83,5,25,14,10,8,17,10,606.95,2823.19,2792.01,1495.77,2260.99,3538.93,1773.99
708414033,50,M,4,Graduate,Married,$40K - $60K,Blue,38,6,3,3,2845,1153,1692,0.836,0.941,0.203794669,admin.,84,63520.95,5,11,15,13,17,13,10,487.98,9877.07,10594.58,11399.78,11418.72,9338.65,10404.17,84,6957.55,2,14,18,11,20,10,9,204.31,836.38,1329.57,1302.3,1472.72,631.24,1181.03
708423933,51,M,2,Doctorate,Single,$40K - $60K,Blue,40,3,2,0,6103,0,6103,0.532,0.829,0.197777596,unknown,76,45275.56,8,8,12,12,18,11,7,1751.74,6572.43,7824.43,7819.38,8469.69,6699.93,6137.96,84,14484.44,2,10,22,10,23,17,0,138.11,2336.91,3829.35,2391.19,2656.26,3132.62,0
708474333,42,M,3,Graduate,Married,$60K - $80K,Blue,29,3,3,1,12294,2517,9777,0.775,0.611,0.109301963,management,105,97368.31,8,11,30,16,17,15,8,2725.95,15148.47,19336.29,15016.89,16238.87,14675.69,14226.15,94,16125.1,3,14,22,21,18,10,6,498.06,3887.29,2187.1,2955.22,2072.87,2149.88,2374.68
708482658,41,M,3,Graduate,Married,$80K - $120K,Blue,31,3,2,2,9959,1946,8013,0.725,0.676,0.101805737,management,132,125371.53,9,18,26,17,25,19,18,4271.87,19911.97,21786.73,17102.8,22578.35,21017.93,18701.88,109,12166.6,4,17,9,21,22,25,11,224.94,3223.26,1068.21,2127.71,1920.12,2917.11,685.25
708525108,54,F,2,Graduate,Married,Unknown,Blue,47,4,3,3,2156,1134,1022,0.669,0.711,0.246221011,engineer,95,49612.5,3,11,15,23,10,23,10,715.88,7358.81,7739.56,10360.12,6556.03,10529.34,6352.76,46,6370.23,0,14,7,9,7,5,4,0,1426.74,1284.69,1753.14,662.08,652.83,590.75
708597558,42,M,3,High School,Single,$60K - $80K,Blue,36,4,4,3,3337,795,2542,0.524,0.619,0.098980621,admin.,86,84116.77,1,15,19,9,16,15,11,425.21,13863.5,15702.46,12484.3,13622.25,14300.34,13718.71,102,3963.58,2,16,19,21,12,17,15,171.52,861.88,745.93,769.95,503.11,551.34,359.85
708646233,44,F,1,Unknown,Divorced,Unknown,Blue,36,3,2,1,17116,1289,15827,0.559,0.923,0.037349945,unknown,68,70003.57,4,6,7,19,12,8,12,1197.65,10237.12,9978.06,14126.85,11421.12,10393.75,12649.02,88,7671.38,8,14,22,9,14,11,10,754.78,784.44,1812.46,1039.15,926.42,1809,545.13
708689958,48,F,4,Unknown,Unknown,Less than $40K,Blue,36,4,3,2,2406,1744,662,0.694,0.692,0.373629814,services,106,49557.39,8,17,17,14,21,17,12,996.57,7595.9,8541.51,7352.71,9110.1,8033.55,7927.05,82,10787.44,2,8,28,16,8,6,14,471.27,1625.26,1498.91,1830.27,1582.72,2211.53,1567.48
708704433,36,F,3,High School,Single,Unknown,Blue,23,6,3,4,2804,2090,714,1.248,1.081,0.349726284,unemployed,77,20072.85,6,20,11,14,10,13,3,1465.21,5203.01,2703.61,3797.43,2898.71,3618.46,386.42,85,11767.59,6,18,15,11,11,14,10,1238.03,1321.29,2406.12,1263.59,1468.4,2411.47,1658.69
708745983,37,F,2,Unknown,Married,$40K - $60K,Blue,36,4,2,2,2208,1559,649,0.51,0.761,0.347132775,sales,99,64545.34,11,15,17,9,15,17,15,1605.19,10090.13,11740.86,9159.34,11579.92,10139.65,10230.25,62,9197.63,3,9,6,10,12,8,14,392.73,1503.37,1099.96,2501.68,1310.55,1491.89,897.45
708796458,30,F,2,Graduate,Single,Less than $40K,Blue,18,3,1,4,4199,1903,2296,1.059,0.763,0.226660911,student,85,47500.38,5,12,13,10,21,18,6,615.17,7173.7,7620.53,7866.29,8762.7,8697.75,6764.24,106,11420.99,2,12,19,20,23,20,10,465.54,2061.38,1572.43,2312.27,1865.26,1788.51,1355.6
708804633,44,F,2,Doctorate,Divorced,Less than $40K,Blue,36,1,2,2,1916,0,1916,1.041,0.444,0.231724948,unknown,51,24020.48,3,11,9,8,8,6,6,312.98,4375.99,3714.85,3872.94,4400.47,4071.76,3271.49,69,5327.82,5,8,14,19,12,11,0,630.18,488.46,1451.1,964.26,1002.62,791.2,0
708816408,41,M,4,Uneducated,Single,$80K - $120K,Blue,32,4,6,3,21756,0,21756,0.817,0.511,0.251486601,self-employed,83,109503.21,5,18,14,14,10,15,7,1961.86,18644.98,19984.44,16993.01,18421.15,18489.94,15007.83,68,65656.11,2,8,17,17,15,9,0,1825.24,12118.32,15411,15964.61,16233.96,4102.98,0
708823908,41,M,3,Graduate,Single,$60K - $80K,Blue,28,4,1,3,16443,1363,15080,0.688,0.684,0.032564972,management,82,79469.88,7,13,13,15,17,11,6,2174.45,13194.34,13401.88,13903.89,14106.06,11828.08,10861.18,98,6425.59,2,9,14,20,17,17,19,119.54,1478.35,892.75,1597.09,712.41,714.11,911.34
708862233,44,F,4,Graduate,Married,$40K - $60K,Blue,30,3,3,3,4068,0,4068,1.121,0.766,0.215820428,admin.,95,59812.03,4,15,14,20,21,11,10,1057.91,9946.74,9879.94,10660.69,10827.46,9227.12,8212.17,99,10535.49,6,24,28,13,17,11,0,81.49,2646.06,2484.59,1245.78,2111.4,1966.17,0
