TransactionID,CustomerID,TransactionDate,Amount,TransactionType,Description,UpdatedBalance
3821,709831983,1-20-24 20:28,523.18,OutgoingTransfer,Peer-to-Peer Transfer,232.6775579
3822,709831983,1-21-24 11:28,479.28,OnlineShopping,AliExpress,-246.6024421
3823,709831983,1-21-24 16:28,213.08,OutgoingTransfer,Peer-to-Peer Transfer,-459.6824421
3824,709831983,1-21-24 18:28,946.05,Deposit,Cash Deposit,486.3675579
3825,709831983,1-22-24 12:28,921.09,OutgoingTransfer,International Transfer,-434.7224421
3826,709831983,1-23-24 18:28,583.64,Purchase,Travel,-1018.362442
3827,709831983,1-24-24 20:28,560.77,Payment,Bill Payment,-1579.132442
3828,709831983,1-30-24 22:28,481.15,Withdrawal,ATM Withdrawal,-2060.282442
3829,709831983,02-02-24 14:28,861.86,IncomingTransfer,Freelance Payment,-1198.422442
3830,709831983,02-05-24 12:28,943.87,Deposit,Direct Deposit,-254.5524421
3831,709831983,02-05-24 21:28,15800,IncomingTransfer,Salary,15545.44756
3832,709831983,02-08-24 12:28,283.26,Deposit,Cash Deposit,15828.70756
3833,709831983,02-08-24 23:28,832.18,Withdrawal,ATM Withdrawal,14996.52756
3834,709831983,02-09-24 10:28,618.29,OutgoingTransfer,Peer-to-Peer Transfer,14378.23756
3835,709831983,02-10-24 19:28,603.67,Withdrawal,Mobile App Withdrawal,13774.56756
3836,709831983,02-10-24 21:28,1400,Payment,Credit Card Payment,12374.56756
3837,709831983,2-14-24 19:28,777.73,Return,Etsy Return,13152.29756
3838,709831983,2-18-24 21:28,5500,Payment,Rent Payment,7652.297558
3839,709831983,2-19-24 12:28,395.65,Return,Store Return,8047.947558
3840,709831983,2-19-24 18:28,728.18,Withdrawal,Mobile App Withdrawal,7319.767558
3841,709831983,2-20-24 15:28,442.51,OutgoingTransfer,Peer-to-Peer Transfer,6877.257558
3842,709831983,2-20-24 17:28,677.36,Purchase,Electronics,6199.897558
3843,709831983,2-22-24 19:28,397.51,Withdrawal,ATM Withdrawal,5802.387558
3844,709831983,2-22-24 19:28,702.24,Return,Target Return,6504.627558
3845,709831983,2-22-24 22:28,906.25,OutgoingTransfer,Peer-to-Peer Transfer,5598.377558
3846,709831983,2-23-24 21:28,723.08,Withdrawal,ATM Withdrawal,4875.297558
3847,709831983,2-26-24 19:28,491.56,OutgoingTransfer,Wire Transfer,4383.737558
3848,709831983,2-28-24 10:28,528.17,OnlineShopping,AliExpress,3855.567558
3849,709831983,2-28-24 21:28,540.84,Withdrawal,Branch Withdrawal,3314.727558
3850,709831983,2-29-24 13:28,337.89,Purchase,Pharmacy,2976.837558
3851,709831983,2-29-24 21:28,501.61,Withdrawal,Branch Withdrawal,2475.227558
3852,709831983,03-01-24 9:28,292.46,Purchase,Restaurant,2182.767558
3853,709831983,03-02-24 14:28,241.49,Purchase,Travel,1941.277558
3854,709831983,03-02-24 21:28,15800,IncomingTransfer,Salary,17741.27756
3855,709831983,03-07-24 21:28,1700,Payment,Credit Card Payment,16041.27756
3856,709831983,03-09-24 14:28,879.82,Return,AliExpress Return,16921.09756
3857,709831983,03-11-24 14:28,311.32,Purchase,Entertainment,16609.77756
3858,709831983,03-12-24 15:28,576.69,Payment,Bill Payment,16033.08756
3859,709831983,03-12-24 18:28,325.97,OnlineShopping,Walmart,15707.11756
3860,709831983,3-13-24 12:28,333.46,Deposit,Direct Deposit,16040.57756
3861,709831983,3-14-24 10:28,607.3,Purchase,Home Improvement,15433.27756
3862,709831983,3-15-24 23:28,863.36,Purchase,Clothing,14569.91756
3863,709831983,3-16-24 19:28,837.13,Withdrawal,Branch Withdrawal,13732.78756
3864,709831983,3-16-24 21:28,612.94,Purchase,Furniture,13119.84756
3865,709831983,3-17-24 11:28,816.07,Return,Target Return,13935.91756
3866,709831983,3-17-24 15:28,735.26,OutgoingTransfer,Peer-to-Peer Transfer,13200.65756
3867,709831983,3-18-24 17:28,761.45,IncomingTransfer,Freelance Payment,13962.10756
3868,709831983,3-18-24 21:28,7500,Payment,Rent Payment,6462.107558
3869,709831983,3-20-24 18:28,687.57,IncomingTransfer,Freelance Payment,7149.677558
3870,709831983,3-21-24 12:28,520.31,OutgoingTransfer,Peer-to-Peer Transfer,6629.367558
3871,709831983,3-23-24 22:28,629.94,OutgoingTransfer,Peer-to-Peer Transfer,5999.427558
3872,709831983,3-24-24 18:28,547.23,Purchase,Pharmacy,5452.197558
3873,709831983,3-29-24 13:28,788.38,OnlineShopping,Best Buy,4663.817558
3874,709831983,3-30-24 21:28,891.63,Purchase,Restaurant,3772.187558
3875,709831983,3-31-24 13:28,389.55,Purchase,Electronics,3382.637558
3876,709831983,04-01-24 22:28,323.06,Deposit,Check Deposit,3705.697558
3877,709831983,04-01-24 23:28,429.57,Purchase,Travel,3276.127558
