TransactionID,CustomerID,TransactionDate,Amount,TransactionType,Description,UpdatedBalance
1,708134283,1-29-24 19:28,27.03,Purchase,Pharmacy,318.8895352
2,708134283,02-05-24 21:28,2700,IncomingTransfer,Salary,3018.889535
3,708134283,02-10-24 21:28,900,Payment,Credit Card Payment,2118.889535
4,708134283,02-11-24 10:28,52.13,Withdrawal,ATM Withdrawal,2066.759535
5,708134283,2-18-24 11:28,146.98,OutgoingTransfer,Wire Transfer,1919.779535
6,708134283,2-18-24 21:28,900,Payment,Subscription Payment,1019.779535
7,708134283,2-21-24 15:28,40.69,Deposit,Mobile Deposit,1060.469535
8,708134283,2-29-24 23:28,140.45,Purchase,Clothing,920.0195352
9,708134283,03-04-24 21:28,2700,IncomingTransfer,Salary,3620.019535
10,708134283,03-09-24 21:28,800,Payment,Credit Card Payment,2820.019535
11,708134283,03-09-24 22:28,216.01,Return,Target Return,3036.029535
12,708134283,03-11-24 21:28,1000,Payment,Subscription Payment,2036.029535
13,708134283,3-13-24 12:28,185.02,OnlineShopping,Amazon,1851.009535
14,708134283,3-22-24 17:28,96.39,Withdrawal,ATM Withdrawal,1754.619535
15,708134283,3-27-24 20:28,98.29,Withdrawal,ATM Withdrawal,1656.329535
16,708134283,3-31-24 12:28,72.32,Deposit,Mobile Deposit,1728.649535
17,708134283,04-04-24 21:28,2700,IncomingTransfer,Salary,4428.649535
18,708134283,04-06-24 12:28,31.38,Deposit,Direct Deposit,4460.029535
19,708134283,04-09-24 21:28,800,Payment,Credit Card Payment,3660.029535
20,708134283,4-15-24 21:28,700,Payment,Installment Payment,2960.029535
21,708134283,4-23-24 14:28,33.27,Return,Best Buy Return,2993.299535
22,708134283,05-01-24 23:28,149.81,Purchase,Home Improvement,2843.489535
23,708134283,05-05-24 21:28,2700,IncomingTransfer,Salary,5543.489535
24,708134283,05-06-24 10:28,35.34,OnlineShopping,AliExpress,5508.149535
25,708134283,05-07-24 19:28,67.14,Purchase,Home Improvement,5441.009535
26,708134283,05-10-24 21:28,900,Payment,Credit Card Payment,4541.009535
27,708134283,5-14-24 21:28,1000,Payment,Installment Payment,3541.009535
